lp,"nr pasażera PEKA",data,linia - kierunek,"godzina wejścia","godzina wyjścia","czas podróży (min)","przystanek wejściowy","przystanek wyjściowy","liczba przejechanych przystanków"
1,1,2025-09-29,9 piątkowska,07:15:00,07:25:00,00:10:00,HCP HCP42,półwiejska POLW42,6
2,2,2025-09-29,9 piątkowska,07:15:00,07:25:00,00:10:00,HCP HCP42,półwiejska POLW42,6
3,3,2025-09-29,9 piątkowska,07:15:00,07:25:00,00:10:00,HCP HCP42,półwiejska POLW42,6
4,4,2025-09-29,9 piątkowska,07:12:00,07:25:00,00:13:00,wspólna WSPO42,półwiejska POLW42,7
5,5,2025-09-29,9 piątkowska,07:17:00,07:25:00,00:08:00,Traugutta TRAU42,półwiejska POLW42,5
6,1,2025-09-29,18 franowo,07:35:00,07:41:00,00:06:00,półwiejska POLW42,rondo rataje RRAT72,4
7,2,2025-09-29,18 franowo,07:35:00,07:45:00,00:10:00,półwiejska POLW42,łacina LACI41,8
8,3,2025-09-29,18 franowo,07:35:00,07:51:00,00:16:00,półwiejska POLW42,szwedzka SZWE41,13
9,4,2025-09-29,18 franowo,07:35:00,07:51:00,00:16:00,półwiejska POLW42,szwedzka SZWE41,13
10,5,2025-09-29,18 franowo,07:35:00,07:51:00,00:16:00,półwiejska POLW42,szwedzka SZWE41,13
11,6,2025-09-29,6 Budziszyńska,08:00:00,08:12:00,00:12:00,Miłostowo MILO42,kórnicka KORN41,9
12,7,2025-09-29,6 Budziszyńska,08:00:00,08:12:00,00:12:00,Miłostowo MILO42,kórnicka KORN41,9
13,8,2025-09-29,6 Budziszyńska,08:00:00,08:12:00,00:12:00,Miłostowo MILO42,kórnicka KORN41,9
14,9,2025-09-29,6 Budziszyńska,08:01:00,08:12:00,00:11:00,mogileńska MOGI42,kórnicka KORN41,8
15,10,2025-09-29,6 Budziszyńska,08:02:00,08:12:00,00:10:00,łomżyńska LOMZ42,kórnicka KORN41,7
16,11,2025-09-29,6 Budziszyńska,08:03:00,08:12:00,00:09:00,termalna TERM 42,kórnicka KORN41,6
17,12,2025-09-29,6 Budziszyńska,08:03:00,08:12:00,00:09:00,termalna TERM 42,kórnicka KORN41,6
18,13,2025-09-29,6 Budziszyńska,08:02:00,08:18:00,00:16:00,łomżyńska LOMZ42,serafitek SERA72,10
19,11,2025-09-29,7 ogrody,08:16:00,08:28:00,00:12:00,kórnicka KORN41,rolna ROLN41,9
20,14,2025-09-29,12 starołęka PKM,09:00:00,09:16:00,00:16:00,starołęka PKM STAR 42,AWF AWF41,11
21,15,2025-09-29,12 starołęka PKM,09:00:00,09:16:00,00:16:00,starołęka PKM STAR 42,AWF AWF41,11
22,16,2025-09-29,12 starołęka PKM,09:00:00,09:16:00,00:16:00,starołęka PKM STAR 42,AWF AWF41,11
23,17,2025-09-29,12 starołęka PKM,09:00:00,09:16:00,00:16:00,starołęka PKM STAR 42,AWF AWF41,11
24,18,2025-09-29,12 starołęka PKM,09:01:00,09:16:00,00:15:00,bystra BYST42,AWF AWF41,10
25,19,2025-09-29,12 starołęka PKM,09:01:00,09:16:00,00:15:00,bystra BYST42,AWF AWF41,10
26,20,2025-09-29,12 starołęka PKM,09:08:00,09:16:00,00:08:00,wioślarska WIOS72,AWF AWF41,4
27,21,2025-09-29,12 starołęka PKM,09:08:00,09:16:00,00:08:00,wioślarska WIOS72,AWF AWF41,4
28,22,2025-09-29,12 starołęka PKM,09:08:00,09:16:00,00:08:00,wioślarska WIOS72,AWF AWF41,4
29,23,2025-09-29,12 starołęka PKM,09:08:00,09:16:00,00:08:00,wioślarska WIOS72,AWF AWF41,4
30,24,2025-09-29,12 starołęka PKM,09:08:00,09:16:00,00:08:00,wioślarska WIOS72,AWF AWF41,4
31,20,2025-09-29,18 ogrody,09:50:00,09:54:00,00:04:00,AWF AWF41,poznań główny POGL41,3
32,21,2025-09-29,18 ogrody,09:50:00,09:54:00,00:04:00,AWF AWF41,poznań główny POGL41,3
33,22,2025-09-29,18 ogrody,09:50:00,09:54:00,00:04:00,AWF AWF41,poznań główny POGL41,3
34,23,2025-09-29,18 ogrody,09:50:00,09:54:00,00:04:00,AWF AWF41,poznań główny POGL41,3
35,24,2025-09-29,18 ogrody,09:50:00,09:54:00,00:04:00,AWF AWF41,poznań główny POGL41,3
36,25,2025-09-29,13 junikowo,11:30:00,11:44:00,00:14:00,bystra BYST42,politechnikia PP72,12
37,26,2025-09-29,13 junikowo,11:30:00,11:44:00,00:14:00,bystra BYST42,politechnikia PP72,12
38,27,2025-09-29,13 junikowo,11:30:00,11:44:00,00:14:00,bystra BYST42,politechnikia PP72,12
39,28,2025-09-29,13 junikowo,11:30:00,11:44:00,00:14:00,bystra BYST42,politechnikia PP72,12
40,29,2025-09-29,13 junikowo,11:33:00,11:44:00,00:11:00,rondo starołęka RSTA46,politechnikia PP72,10
41,30,2025-09-29,13 junikowo,11:33:00,11:44:00,00:11:00,rondo starołęka RSTA46,politechnikia PP72,10
42,31,2025-09-29,13 junikowo,11:33:00,11:44:00,00:11:00,rondo starołęka RSTA46,politechnikia PP72,10
