lp,"nr pasażera
PEKA",data,linia - kierunek,"godzina 
wejścia","godzina 
wyjścia","czas 
podróży
(min)","przystanek 
wejściowy","przystanek 
wyjściowy","liczba przejechanych
przystanków"
1,1,2025-09-15,174 Unii Lubelskiej,07:01:00,07:10:00,00:09:00,"Osiedle pod lipami
OPL02","Garbary PKM
GABA02",3
2,2,2025-09-15,174 Unii Lubelskiej,08:15:00,08:20:00,00:05:00,"Plac Bernardyński
PLBE02","AWF 
AWF73",1
3,3,2025-09-15,13 Starołęka PKM,07:30:00,07:52:00,00:22:00,"Stadion Miejski
BULG42","Politechnika
PP71",14
4,4,2025-09-15,13 Starołęka PKM,07:30:00,07:52:00,00:22:00,"Stadion Miejski
BULG42","Politechnika
PP71",14
5,5,2025-09-15,13 Starołęka PKM,07:30:00,07:52:00,00:22:00,"Stadion Miejski
BULG42","Politechnika
PP71",14
6,6,2025-09-15,12 starołęka PKM,07:20:00,07:31:00,00:11:00,"Poznań główny
POGL42","serafitek
SERA71",4
7,7,2025-09-15,12 starołęka PKM,07:20:00,07:31:00,00:11:00,"Poznań główny
POGL42","serafitek
SERA71",4
8,8,2025-09-15,12 starołęka PKM,07:20:00,07:31:00,00:11:00,"Poznań główny
POGL42","serafitek
SERA71",4
9,9,2025-09-15,12 Osiedle sobieskiego,06:50:00,07:27:00,00:37:00,"Starołęka PKM
STAR42","Osiedle sobieskiego
SOB41",24
10,10,2025-09-15,12 Osiedle sobieskiego,06:50:00,07:27:00,00:37:00,"Starołęka PKM
STAR42","Osiedle sobieskiego
SOB41",24
11,11,2025-09-15,3 franowo,07:10:00,07:20:00,00:10:00,"Błażeja
BLAZ42","kmieca
KMIE42",9
12,12,2025-09-15,3 franowo,07:10:00,07:20:00,00:10:00,"Błażeja
BLAZ42","kmieca
KMIE42",9
13,13,2025-09-15,6 junikowo,07:15:00,07:25:00,00:10:00,"Kórnicka
KORN41","Serafitek
SERA72",3
14,14,2025-09-15,6 junikowo,07:15:00,07:25:00,00:10:00,"Kórnicka
KORN41","Serafitek
SERA72",3
15,15,2025-09-15,7 ogrody,06:50:00,06:55:00,00:05:00,"Połabska
POLA42","Murawa
MURA42",3
16,16,2025-09-15,7 ogrody,06:50:00,06:55:00,00:05:00,"Połabska
POLA42","Murawa
MURA42",3
17,17,2025-09-15,6 junikowo,07:20:00,07:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
18,18,2025-09-15,6 junikowo,07:20:00,07:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
19,19,2025-09-15,6 junikowo,07:20:00,07:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
20,20,2025-09-15,6 junikowo,07:20:00,07:39:00,00:19:00,"Miłostowo
MILO42","wierzbięcice
WIER41",13
21,21,2025-09-15,6 junikowo,07:20:00,07:40:00,00:20:00,"Miłostowo
MILO42","półwiejska
POLW41",14
22,22,2025-09-15,6 junikowo,07:23:00,07:39:00,00:16:00,"węgorka
WEGO41
","wierzbięcice
WIER42",10
23,23,2025-09-15,183 Rondo Śródka,07:15:00,07:36:00,00:21:00,"Szarych Szeregów
SZSZ01","Aleje Solidarności
ROSO04",15
24,24,2025-09-15,183 Rondo Śródka,07:15:00,07:36:00,00:21:00,"Szarych Szeregów
SZSZ01","Aleje Solidarności
ROSO04",15
25,25,2025-09-15,183 Rondo Śródka,07:15:00,07:36:00,00:21:00,"Szarych Szeregów
SZSZ01","Aleje Solidarności
ROSO04",15
26,26,2025-09-15,16 franowo,11:00:00,11:10:00,00:10:00,"Plac Bernardyński
PLBE71","Kórnicka
KORN41",3
27,27,2025-09-15,16 franowo,11:00:00,11:10:00,00:10:00,"Plac Bernardyński
PLBE71","Kórnicka
KORN41",3
28,28,2025-09-15,16 franowo,11:00:00,11:10:00,00:10:00,"Plac Bernardyński
PLBE71","Kórnicka
KORN41",3
29,29,2025-09-15,16 franowo,11:00:00,11:10:00,00:10:00,"Plac Bernardyński
PLBE71","Kórnicka
KORN41",3
30,30,2025-09-15,16 osiedle sobieskiego,11:00:00,11:05:00,00:05:00,"Plac Bernardyński
PLBE72","Aleje Marcinkowskiego
MRCI72",2
31,31,2025-09-15,16 osiedle sobieskiego,11:00:00,11:05:00,00:05:00,"Plac Bernardyński
PLBE72","Aleje Marcinkowskiego
MRCI72",2
32,32,2025-09-15,16 osiedle sobieskiego,11:00:00,11:05:00,00:05:00,"Plac Bernardyński
PLBE72","Aleje Marcinkowskiego
MRCI72",2
33,33,2025-09-15,16 osiedle sobieskiego,11:00:00,11:05:00,00:05:00,"Plac Bernardyński
PLBE72","Aleje Marcinkowskiego
MRCI72",2
34,34,2025-09-15,11 Unii Lubelskiej,11:10:00,11:11:00,00:01:00,"Most Teatralny
MT71","Rondo Kaponiera
RKAP71",1
35,35,2025-09-15,11 Unii Lubelskiej,11:10:00,11:11:00,00:01:00,"Most Teatralny
MT71","Rondo Kaponiera
RKAP71",1
36,36,2025-09-15,11 Unii Lubelskiej,11:10:00,11:11:00,00:01:00,"Most Teatralny
MT71","Rondo Kaponiera
RKAP71",1
37,37,2025-09-15,11 Unii Lubelskiej,11:10:00,11:11:00,00:01:00,"Most Teatralny
MT71","Rondo Kaponiera
RKAP71",1
38,38,2025-09-15,176 Garbary PKM,11:30:00,12:01:00,00:31:00,"Osiedle dębina
OSDE02","Garbary PKM
GABA03",17
39,39,2025-09-15,6 junikowo,11:20:00,11:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
